userName,content,score,at,label_num,label,text_Clean,text_Normalization,text_StopWord,text_Tokenization,text_Stemmindo,text_String
Pengguna Google,baik sangat membantu sekali,5,2025-04-20 16:13:51,1,positive,baik sangat membantu sekali,baik sangat membantu sekali,membantu,['membantu'],['bantu'],bantu
Pengguna Google,halo pihak gojek saya mau daftar jadi gojek gimana ya saya mau kerja hari ini juga tolong di respon terimakasih,5,2025-04-20 16:02:20,1,positive,halo pihak gojek saya mau daftar jadi gojek gimana ya saya mau kerja hari ini juga tolong di respon terimakasih,halo pihak gojek saya mau daftar jadi gojek gimana ya saya mau kerja hari ini juga tolong di respon terimakasih,halo gojek daftar gojek gimana ya kerja tolong respon terimakasih,"['halo', 'gojek', 'daftar', 'gojek', 'gimana', 'ya', 'kerja', 'tolong', 'respon', 'terimakasih']","['halo', 'gojek', 'daftar', 'gojek', 'gimana', 'ya', 'kerja', 'tolong', 'respon', 'terimakasih']",halo gojek daftar gojek gimana kerja tolong respon terimakasih
Pengguna Google,mantap,5,2025-04-20 15:55:19,1,positive,mantap,mantap,mantap,['mantap'],['mantap'],mantap
Pengguna Google,"akun tiba2 tersuspen, pasti gara2 kasih bad review ke driver comfort yang tidak comfort wkwkwkwk, padahal mesen gak pake promo. saatnya install aplikasi sebelah padahal pake gojek gak pernah liat ada promo apa enggak sejak 2018. bye gojek by ur loyal cust",1,2025-04-20 15:55:15,-1,negative,akun tiba2 tersuspen pasti gara2 kasih bad review ke driver comfort yang tidak comfort wkwkwkwk padahal mesen gak pake promo saatnya install aplikasi sebelah padahal pake gojek gak pernah liat ada promo apa enggak sejak 2018 bye gojek by ur loyal cust,akun tiba2 tersuspen pasti gara2 kasih bad review ke driver comfort yang tidak comfort wkwkwkwk padahal mesen tidak pake promo saatnya install aplikasi sebelah padahal pake gojek tidak pernah liat ada promo apa enggak sejak 2018 bye gojek by ur loyal cust,akun tiba2 tersuspen gara2 kasih bad review driver comfort comfort wkwkwkwk mesen pake promo install aplikasi sebelah pake gojek liat promo 2018 bye gojek by ur loyal cust,"['akun', 'tiba2', 'tersuspen', 'gara2', 'kasih', 'bad', 'review', 'driver', 'comfort', 'comfort', 'wkwkwkwk', 'mesen', 'pake', 'promo', 'install', 'aplikasi', 'sebelah', 'pake', 'gojek', 'liat', 'promo', '2018', 'bye', 'gojek', 'by', 'ur', 'loyal', 'cust']","['akun', 'tiba2', 'tersuspen', 'gara2', 'kasih', 'bad', 'review', 'driver', 'comfort', 'comfort', 'wkwkwkwk', 'mesen', 'pake', 'promo', 'install', 'aplikasi', 'belah', 'pake', 'gojek', 'liat', 'promo', '2018', 'bye', 'gojek', 'by', 'ur', 'loyal', 'cust']",akun tiba2 tersuspen gara2 kasih review driver comfort comfort wkwkwkwk mesen pake promo install aplikasi belah pake gojek liat promo 2018 gojek loyal cust
Pengguna Google,mantap,1,2025-04-20 15:49:10,-1,negative,mantap,mantap,mantap,['mantap'],['mantap'],mantap
Pengguna Google,bagus,5,2025-04-20 15:43:07,1,positive,bagus,bagus,bagus,['bagus'],['bagus'],bagus
Pengguna Google,Aplikasi tidak taat aturan membela penuMpang tanpa meMpedulikan mitra DRIVER kelen dapat duit juga karena ada mitra DRIVER dasar TOL**,1,2025-04-20 15:29:43,-1,negative,aplikasi tidak taat aturan membela penumpang tanpa mempedulikan mitra driver kelen dapat duit juga karena ada mitra driver dasar tol,aplikasi tidak taat aturan membela penumpang tanpa mempedulikan mitra driver kelen dapat duit juga karena ada mitra driver dasar tol,aplikasi taat aturan membela penumpang mempedulikan mitra driver kelen duit mitra driver dasar tol,"['aplikasi', 'taat', 'aturan', 'membela', 'penumpang', 'mempedulikan', 'mitra', 'driver', 'kelen', 'duit', 'mitra', 'driver', 'dasar', 'tol']","['aplikasi', 'taat', 'atur', 'bela', 'tumpang', 'peduli', 'mitra', 'driver', 'kelen', 'duit', 'mitra', 'driver', 'dasar', 'tol']",aplikasi taat atur bela tumpang peduli mitra driver kelen duit mitra driver dasar
Pengguna Google,"cepat, tepat dan mendapat.",5,2025-04-20 15:18:01,1,positive,cepat tepat dan mendapat,cepat tepat dan mendapat,cepat,['cepat'],['cepat'],cepat
Pengguna Google,"hapus sistem rating costumer atau kasi liat rating costumer, ada aja oknum yang sengaja ngasi rating 1 ke cs.",1,2025-04-20 15:17:29,-1,negative,hapus sistem rating costumer atau kasi liat rating costumer ada aja oknum yang sengaja ngasi rating 1 ke cs,hapus sistem rating costumer atau kasi liat rating costumer ada saja oknum yang sengaja ngasi rating 1 ke cs,hapus sistem rating costumer kasi liat rating costumer oknum sengaja ngasi rating 1 cs,"['hapus', 'sistem', 'rating', 'costumer', 'kasi', 'liat', 'rating', 'costumer', 'oknum', 'sengaja', 'ngasi', 'rating', '1', 'cs']","['hapus', 'sistem', 'rating', 'costumer', 'kasi', 'liat', 'rating', 'costumer', 'oknum', 'sengaja', 'ngasi', 'rating', '1', 'cs']",hapus sistem rating costumer kasi liat rating costumer oknum sengaja ngasi rating
Pengguna Google,terima kasih,5,2025-04-20 15:16:36,1,positive,terima kasih,terima kasih,terima kasih,"['terima', 'kasih']","['terima', 'kasih']",terima kasih
Pengguna Google,mahal mahal ongkir nya juga,3,2025-04-20 15:13:12,0,neutral,mahal mahal ongkir nya juga,mahal mahal ongkir nya juga,mahal mahal ongkir,"['mahal', 'mahal', 'ongkir']","['mahal', 'mahal', 'ongkir']",mahal mahal ongkir
Pengguna Google,Kok sekarang promo Goride dan Gocarnya menghilang??,5,2025-04-20 15:03:23,1,positive,kok sekarang promo goride dan gocarnya menghilang,kok sekarang promo goride dan gocarnya menghilang,promo goride gocarnya menghilang,"['promo', 'goride', 'gocarnya', 'menghilang']","['promo', 'goride', 'gocarnya', 'hilang']",promo goride gocarnya hilang
Pengguna Google,ok,5,2025-04-20 14:54:22,1,positive,ok,ok,ok,['ok'],['ok'],
Pengguna Google,nyaman,5,2025-04-20 14:46:50,1,positive,nyaman,nyaman,nyaman,['nyaman'],['nyaman'],nyaman
Pengguna Google,"semakin hari pelayanan dari gojek semakin menurun kualitasnya, gofood yang dulu cepet sekarang LUAMAAAA BANGET, bisa ampe lebih dari sejam, kacau bener nih",1,2025-04-20 14:43:01,-1,negative,semakin hari pelayanan dari gojek semakin menurun kualitasnya gofood yang dulu cepet sekarang luamaaaa banget bisa ampe lebih dari sejam kacau bener nih,semakin hari pelayanan dari gojek semakin menurun kualitasnya gofood yang dulu cepet sekarang luamaaaa banget bisa ampe lebih dari sejam kacau benar nih,pelayanan gojek menurun kualitasnya gofood cepet luamaaaa banget ampe sejam kacau,"['pelayanan', 'gojek', 'menurun', 'kualitasnya', 'gofood', 'cepet', 'luamaaaa', 'banget', 'ampe', 'sejam', 'kacau']","['layan', 'gojek', 'turun', 'kualitas', 'gofood', 'cepet', 'luamaaaa', 'banget', 'ampe', 'jam', 'kacau']",layan gojek turun kualitas gofood cepet luamaaaa banget ampe kacau
